"","year","totalC_estimate_from_growthFunc_ton","upp95CI_totalC_estimate_from_growthFunc_ton","low95CI_totalC_estimate_from_growthFunc_ton","totalC_estimate_from_uppGrowthFunc_ton","upp95CI_totalC_estimate_from_uppGrowthFunc_ton","low95CI_totalC_estimate_from_uppGrowthFunc_ton","totalC_estimate_from_lowGrowthFunc_ton","upp95CI_totalC_estimate_from_lowGrowthFunc_ton","low95CI_totalC_estimate_from_lowGrowthFunc_ton"
"carbon1990CON",1990,42018107.296803,38795323.0540255,45240891.5395804,46977807.2506506,43379464.6546812,50576149.84662,36172853.9182072,33398151.6848457,38947556.1515687
"carbon1991CON",1991,42673756.9360884,39379030.0045096,45968483.8676672,47537294.4284095,43875734.3510329,51198854.5057861,36970159.2011911,34115131.7961005,39825186.6062817
"carbon1992CON",1992,43281951.0148256,39918721.4608934,46645180.5687577,48068400.7666774,44346943.5538141,51789857.9795408,37703517.686522,34772319.1811874,40634716.1918566
"carbon1993CON",1993,43845443.6636916,40417196.2747664,47273691.0526168,48574466.3134631,44796555.9902134,52352376.6367128,38375375.0400562,35372088.455244,41378661.6248685
"carbon1994CON",1994,44581335.4762562,41097890.5999813,48064780.3525311,49294513.2021438,45470742.7053347,53118283.6989528,39176723.322537,36110856.514396,42242590.1306779
"carbon1995CON",1995,45285229.0633353,41750180.2126018,48820277.9140689,50001167.9387684,46135144.6187977,53867191.2587391,39929458.217462,36804960.6829105,43053955.7520134
"carbon1996CON",1996,45739249.4779831,42149706.9072495,49328792.0487166,50452598.719615,46540307.5628542,54364889.8763758,40440787.6331249,37255798.463975,43625776.8022747
"carbon1997CON",1997,46384230.8795803,42750240.9039419,50018220.8552188,51129944.8751833,47181717.3043898,55078172.4459768,41100806.5895437,37864707.5459163,44336905.6331711
"carbon1998CON",1998,46954723.9843382,43278941.1559815,50630506.8126948,51738295.115475,47755846.3160555,55720743.9148945,41675632.7361236,38391269.0043922,44959996.467855
"carbon1999CON",1999,47451134.6471872,43736142.7714889,51166126.5228855,52276404.9519331,48261278.5241549,56291531.3797112,42166490.2040791,38836645.6332437,45496334.7749144
"carbon2000CON",2000,47359158.5845737,43593196.4674319,51125120.7017154,52181964.5993203,48119113.3832223,56244815.8154184,42115376.5706854,38730460.5215202,45500292.6198507
"carbon2001CON",2001,47651099.311499,43849785.5501451,51452413.072853,52517035.7766874,48423246.8250009,56610824.7283739,42391370.8892812,38965619.9409191,45817121.8376433
"carbon2002CON",2002,47974750.9489616,44142280.7208509,51807221.1770723,52895452.5661135,48774238.5028665,57016666.6293604,42682517.3230461,39220345.4252773,46144689.2208149
"carbon2003CON",2003,47723475.3685589,43851610.9881167,51595339.7490011,52655164.8757467,48495690.5081657,56814639.2433277,42447208.9366509,38942383.0625269,45952034.8107749
"carbon2004CON",2004,47794131.3086922,43894578.9766424,51693683.640742,52775035.1088648,48589903.7519719,56960166.4657576,42490178.0531455,38953692.5099622,46026663.5963287
"carbon2005CON",2005,48171347.3115965,44251105.8589721,52091588.7642208,53236791.8334178,49033052.5498535,57440531.116982,42799757.3109777,39238624.4306901,46360890.1912652
"carbon2006CON",2006,47453625.887219,43487705.6714623,51419546.1029756,52510689.043275,48257129.9779693,56764248.1085806,42119877.8242019,38514356.8359031,45725398.8125007
"carbon2007CON",2007,47694473.4801833,43711144.9080765,51677802.05229,52834618.9458773,48564339.8664761,57104898.0252784,42294102.2391716,38668733.0118521,45919471.466491
"carbon2008CON",2008,47624579.9168874,43619411.4201926,51629748.4135822,52826618.7945716,48533726.0557073,57119511.5334358,42184518.4087666,38536647.6842949,45832389.1332383
"carbon2009CON",2009,47792889.0399639,43774431.5826893,51811346.4972385,53083797.4356838,48778213.4632974,57389381.4080703,42284559.7191366,38622057.9715709,45947061.4667023
"carbon2010CON",2010,48122669.2701439,44094563.2288876,52150775.3114003,53520468.3290102,49206028.4140824,57834908.243938,42525899.5323426,38852526.600691,46199272.4639943
"carbon2011CON",2011,48111290.6343656,44073049.458504,52149531.8102273,53579854.8112154,49254986.1090869,57904723.513344,42459834.0414532,38775866.9771142,46143801.1057923
"carbon2012CON",2012,48265562.0501677,44220704.8752627,52310419.2250727,53822502.0396688,49490589.0131617,58154415.0661759,42538678.52425,38847529.3545821,46229827.6939179
"carbon2013CON",2013,47907504.4470743,43856041.0575237,51958967.836625,53497564.127891,49156947.2970371,57838180.958745,42157027.6589323,38459392.2877887,45854663.0300759
"carbon2014CON",2014,46611051.3381069,42828355.45546,50393747.2207537,52135931.0456543,48092270.0118136,56179592.0794949,40940323.9155034,37479151.0785498,44401496.7524569
"carbon2015CON",2015,46068406.5475087,42280528.8402955,49856284.254722,51588958.7048742,47535050.1556275,55642867.254121,40402210.5851851,36937231.2036581,43867189.966712
"carbon2016CON",2016,45302072.5851417,41503449.4221558,49100695.7481276,50792006.6064628,46719856.7572075,54864156.4557182,39671960.1466899,36199563.0677565,43144357.2256234
"carbon2017CON",2017,44708158.8921771,40910339.4574297,48505978.3269246,50191647.1588799,46114297.6814258,54268996.636334,39086188.3264455,35616316.8318884,42556059.8210027
"carbon2018CON",2018,44115970.7273159,40320657.5692305,47911283.8854014,49579985.9664274,45498893.8799782,53661078.0528766,38518167.2599891,35052869.4351449,41983465.0848332
"carbon2019CON",2019,43134690.6587553,39318166.1721716,46951215.145339,48549026.8614355,44434620.1928993,52663433.5299717,37593276.6556305,34114474.957423,41072078.353838
"carbon2020CON",2020,42874643.2551649,39036009.4467943,46713277.0635356,48284205.9539269,44136717.5739556,52431694.3338982,37340594.0305294,33847102.8726264,40834085.1884324
"carbon2021CON",2021,42161518.5968531,38311026.6774557,46012010.5162504,47528236.2826691,43358017.7587392,51698454.806599,36668704.756832,33169943.6233699,40167465.8902941
